ts,open,high,low,close,volume
1778821200,80724.71000000,80882.45000000,80314.00000000,80360.01000000,1029.21412000
1778824800,80360.01000000,80644.50000000,80314.01000000,80580.00000000,815.53271000
1778828400,80580.00000000,81003.37000000,80559.88000000,80814.88000000,878.78211000
1778832000,80814.88000000,80822.95000000,80415.84000000,80638.00000000,538.63644000
1778835600,80638.00000000,80670.51000000,80369.00000000,80489.80000000,471.66166000
1778839200,80489.81000000,80776.33000000,80407.60000000,80716.23000000,444.96934000
1778842800,80716.22000000,80750.56000000,80590.08000000,80628.53000000,250.99223000
1778846400,80628.52000000,80635.44000000,80340.83000000,80385.11000000,535.00082000
1778850000,80385.10000000,80385.11000000,78698.69000000,78758.59000000,3101.88518000
1778853600,78758.59000000,79353.32000000,78659.00000000,79150.37000000,1965.21031000
1778857200,79150.36000000,79369.36000000,79013.81000000,79150.27000000,606.47310000
1778860800,79150.26000000,79382.30000000,79131.01000000,79294.31000000,514.78679000
1778864400,79294.31000000,79504.83000000,79224.00000000,79460.00000000,478.80422000
1778868000,79460.00000000,79561.94000000,79170.47000000,79284.00000000,544.01093000
1778871600,79284.01000000,79290.00000000,79051.00000000,79146.50000000,421.75884000
1778875200,79146.50000000,79217.07000000,79000.00000000,79123.12000000,224.44355000
1778878800,79123.13000000,79200.00000000,78911.42000000,78973.50000000,682.32127000
1778882400,78973.50000000,79145.44000000,78973.49000000,79107.38000000,347.86808000
1778886000,79107.38000000,79161.86000000,79077.96000000,79113.21000000,677.62104000
1778889600,79113.20000000,79227.77000000,79075.09000000,79111.92000000,314.01240000
1778893200,79111.92000000,79186.05000000,79010.00000000,79168.00000000,357.20294000
1778896800,79168.00000000,79211.77000000,79080.10000000,79155.54000000,208.30505000
1778900400,79155.55000000,79187.71000000,79059.77000000,79083.18000000,368.66241000
1778904000,79083.19000000,79129.71000000,78860.00000000,79035.26000000,321.76822000
1778907600,79035.25000000,79039.49000000,78933.63000000,79027.37000000,183.05543000
1778911200,79027.36000000,79047.94000000,78459.87000000,78648.00000000,632.26156000
1778914800,78648.00000000,78651.63000000,78066.00000000,78369.77000000,1267.74437000
1778918400,78369.78000000,78530.52000000,78334.21000000,78426.56000000,379.04319000
1778922000,78426.55000000,78440.81000000,77906.10000000,78083.48000000,1104.43110000
1778925600,78083.47000000,78101.43000000,77640.00000000,77960.00000000,1759.70594000
1778929200,77959.99000000,78193.88000000,77959.99000000,78081.71000000,602.91980000
1778932800,78080.46000000,78133.38000000,77918.62000000,78007.23000000,791.53177000
1778936400,78007.24000000,78014.60000000,77833.40000000,78014.60000000,830.86287000
1778940000,78014.60000000,78346.00000000,77895.20000000,78130.55000000,729.04785000
1778943600,78130.55000000,78285.00000000,78078.22000000,78238.67000000,332.91477000
1778947200,78238.68000000,78364.65000000,78119.72000000,78205.96000000,328.10255000
1778950800,78205.96000000,78320.41000000,78199.00000000,78201.50000000,350.20669000
1778954400,78201.50000000,78327.75000000,78142.99000000,78229.81000000,310.63405000
1778958000,78229.82000000,78314.69000000,78204.22000000,78259.66000000,271.10252000
1778961600,78259.67000000,78318.94000000,78201.42000000,78261.00000000,194.34290000
1778965200,78261.00000000,78308.33000000,78206.85000000,78265.73000000,237.27188000
1778968800,78265.73000000,78279.28000000,78171.02000000,78186.25000000,128.79242000
1778972400,78186.25000000,78267.46000000,78125.32000000,78148.05000000,128.93924000
1778976000,78148.05000000,78243.19000000,77812.00000000,77945.85000000,311.59646000
1778979600,77945.85000000,78114.00000000,77721.19000000,77725.71000000,516.53667000
1778983200,77725.72000000,77938.00000000,77725.71000000,77895.51000000,256.64293000
1778986800,77895.50000000,78079.30000000,77888.00000000,78028.88000000,200.15322000
1778990400,78028.88000000,78203.93000000,78003.35000000,78158.09000000,375.99093000
1778994000,78158.08000000,78323.96000000,78102.42000000,78121.41000000,258.98839000
1778997600,78121.41000000,78204.01000000,78017.00000000,78104.80000000,136.86954000
1779001200,78104.79000000,78208.69000000,78053.79000000,78180.01000000,180.24659000
1779004800,78180.00000000,78200.91000000,78033.01000000,78089.80000000,117.37418000
1779008400,78089.80000000,78293.97000000,78073.52000000,78249.33000000,196.43485000
1779012000,78249.33000000,78599.99000000,78249.03000000,78465.99000000,564.92985000
1779015600,78465.99000000,78473.82000000,78289.00000000,78415.99000000,257.44450000
1779019200,78415.99000000,78550.00000000,78333.80000000,78364.83000000,254.43689000
1779022800,78364.83000000,78364.83000000,78173.15000000,78202.91000000,260.27625000
1779026400,78202.91000000,78217.33000000,77850.00000000,78051.51000000,397.56893000
1779030000,78051.51000000,78119.42000000,77920.76000000,78051.41000000,203.63392000
1779033600,78051.42000000,78193.66000000,78025.23000000,78034.36000000,142.87987000
1779037200,78034.37000000,78092.44000000,77856.69000000,78089.98000000,296.43890000
1779040800,78089.99000000,78271.59000000,78014.33000000,78268.05000000,172.43416000
1779044400,78268.04000000,78468.46000000,78209.96000000,78415.30000000,225.32283000
1779048000,78415.29000000,78435.32000000,78248.80000000,78277.36000000,205.39109000
1779051600,78277.36000000,78485.36000000,78243.50000000,78405.72000000,293.90051000
1779055200,78405.72000000,78414.16000000,77830.00000000,77997.24000000,585.78673000
1779058800,77997.24000000,78008.18000000,76735.16000000,77457.67000000,2031.42401000
1779062400,77457.67000000,77477.99000000,76916.60000000,77209.95000000,1062.83033000
1779066000,77209.95000000,77291.54000000,76744.95000000,77109.22000000,771.47833000
1779069600,77109.21000000,77222.03000000,76707.61000000,76835.41000000,544.67309000
1779073200,76835.41000000,77030.42000000,76817.14000000,76924.65000000,509.02980000
1779076800,76924.66000000,77069.77000000,76772.01000000,77038.49000000,354.48166000
1779080400,77038.49000000,77080.93000000,76884.33000000,76931.40000000,586.83852000
1779084000,76931.40000000,76967.80000000,76583.33000000,76912.52000000,621.71728000
1779087600,76912.53000000,77089.29000000,76771.53000000,77073.69000000,1139.62980000
1779091200,77073.69000000,77181.88000000,76890.34000000,77040.42000000,562.21651000
1779094800,77040.43000000,77048.14000000,76877.17000000,76933.16000000,365.74952000
1779098400,76933.17000000,76957.35000000,76716.99000000,76764.74000000,432.20236000
1779102000,76764.75000000,77403.48000000,76668.58000000,77285.83000000,692.38548000
1779105600,77285.83000000,77800.00000000,77275.96000000,77639.98000000,980.76582000
1779109200,77639.99000000,77639.99000000,76695.31000000,76937.70000000,1116.56330000
1779112800,76937.70000000,76954.25000000,76230.02000000,76393.65000000,2158.59337000
1779116400,76393.66000000,76485.29000000,76051.00000000,76409.46000000,1960.17489000
1779120000,76409.46000000,76665.68000000,76218.00000000,76410.01000000,1252.93830000
1779123600,76410.00000000,76757.21000000,76366.13000000,76706.39000000,450.87486000
1779127200,76706.38000000,76706.38000000,76144.24000000,76252.50000000,779.57136000
1779130800,76252.01000000,76995.00000000,76235.00000000,76928.00000000,812.47229000
1779134400,76928.00000000,77182.14000000,76874.73000000,76909.92000000,463.85785000
1779138000,76909.92000000,77174.23000000,76800.00000000,77103.05000000,491.73560000
1779141600,77103.04000000,77222.79000000,76937.19000000,77078.22000000,359.68174000
1779145200,77078.22000000,77160.79000000,76948.80000000,77001.87000000,275.05472000
1779148800,77001.88000000,77414.62000000,76955.99000000,77140.87000000,556.43712000
1779152400,77140.86000000,77156.20000000,76667.00000000,76667.01000000,769.46148000
1779156000,76667.01000000,76997.33000000,76487.83000000,76617.47000000,469.02583000
1779159600,76617.46000000,76867.23000000,76586.11000000,76787.11000000,211.83571000
1779163200,76787.10000000,76943.75000000,76700.00000000,76927.25000000,239.72033000
1779166800,76927.25000000,77000.00000000,76644.98000000,76911.24000000,392.43215000
1779170400,76911.25000000,77108.68000000,76886.13000000,77029.40000000,386.11356000
1779174000,77029.41000000,77278.57000000,76974.72000000,77233.69000000,490.19350000
1779177600,77233.68000000,77317.02000000,76972.96000000,77048.71000000,465.92336000
1779181200,77048.72000000,77074.05000000,76709.29000000,76818.80000000,385.08727000
1779184800,76818.80000000,77103.97000000,76704.00000000,77041.87000000,464.38738000
1779188400,77041.87000000,77076.53000000,76633.83000000,76714.62000000,430.29111000
1779192000,76714.61000000,76982.89000000,76650.06000000,76940.21000000,257.11004000
1779195600,76940.20000000,77048.72000000,76596.00000000,76872.75000000,906.63403000
1779199200,76872.74000000,77023.75000000,76144.71000000,76392.43000000,1426.24149000
1779202800,76392.43000000,76675.76000000,76337.97000000,76521.23000000,773.78391000
1779206400,76521.24000000,76911.00000000,76407.72000000,76894.59000000,568.91388000
