ts,open,high,low,close,volume
1778821200,1.47340000,1.47520000,1.45340000,1.46040000,13183940.40000000
1778824800,1.46030000,1.47290000,1.45850000,1.46860000,6648349.10000000
1778828400,1.46860000,1.47300000,1.46570000,1.46960000,3963007.30000000
1778832000,1.46960000,1.47210000,1.46130000,1.47110000,6399217.90000000
1778835600,1.47120000,1.47300000,1.46150000,1.46460000,4823657.20000000
1778839200,1.46460000,1.47690000,1.46330000,1.47490000,3319587.30000000
1778842800,1.47480000,1.47570000,1.46670000,1.46810000,2443476.90000000
1778846400,1.46810000,1.46920000,1.45860000,1.45970000,4896145.90000000
1778850000,1.45970000,1.45970000,1.42900000,1.43220000,18669416.90000000
1778853600,1.43230000,1.44110000,1.42750000,1.43940000,10532809.40000000
1778857200,1.43930000,1.44090000,1.43000000,1.43520000,4705305.00000000
1778860800,1.43510000,1.44760000,1.43400000,1.44670000,5898476.40000000
1778864400,1.44670000,1.45090000,1.44580000,1.44690000,2989754.30000000
1778868000,1.44690000,1.44930000,1.43970000,1.44080000,3130768.30000000
1778871600,1.44070000,1.44080000,1.43210000,1.43450000,3793055.70000000
1778875200,1.43460000,1.43750000,1.43190000,1.43500000,1861646.90000000
1778878800,1.43510000,1.43710000,1.43010000,1.43040000,1529972.90000000
1778882400,1.43040000,1.43460000,1.43010000,1.43370000,1308762.10000000
1778886000,1.43360000,1.43570000,1.43250000,1.43400000,1028465.30000000
1778889600,1.43400000,1.43870000,1.43260000,1.43430000,1725968.20000000
1778893200,1.43430000,1.43860000,1.43110000,1.43710000,1962258.70000000
1778896800,1.43700000,1.43960000,1.43510000,1.43670000,1201085.60000000
1778900400,1.43670000,1.43880000,1.43350000,1.43560000,1202213.60000000
1778904000,1.43550000,1.43660000,1.41800000,1.42570000,6893323.20000000
1778907600,1.42570000,1.42980000,1.42160000,1.42510000,4445122.90000000
1778911200,1.42500000,1.42650000,1.41380000,1.41960000,4027268.90000000
1778914800,1.41970000,1.41980000,1.40460000,1.41680000,6995610.50000000
1778918400,1.41670000,1.41810000,1.41460000,1.41500000,2148340.40000000
1778922000,1.41490000,1.41590000,1.40150000,1.40220000,5602990.20000000
1778925600,1.40230000,1.40890000,1.39400000,1.40730000,9057803.50000000
1778929200,1.40730000,1.41390000,1.40680000,1.41090000,2888467.40000000
1778932800,1.41080000,1.41330000,1.40800000,1.41040000,1895321.20000000
1778936400,1.41030000,1.41550000,1.40770000,1.41160000,3079082.90000000
1778940000,1.41170000,1.41310000,1.40600000,1.40960000,5126974.40000000
1778943600,1.40950000,1.41500000,1.40930000,1.41470000,2320478.40000000
1778947200,1.41470000,1.42270000,1.41350000,1.41670000,3838982.80000000
