ts,open,high,low,close,volume
1749945600,105414.63000000,106128.57000000,104494.53000000,105594.01000000,7164.20047000
1750032000,105594.02000000,108952.38000000,104980.37000000,106794.53000000,14922.66540000
1750118400,106794.53000000,107771.34000000,103371.02000000,104551.17000000,17866.33025000
1750204800,104551.17000000,105550.27000000,103500.00000000,104886.78000000,13968.64167000
1750291200,104886.79000000,105226.17000000,103929.27000000,104658.59000000,7678.60737000
1750377600,104658.59000000,106524.65000000,102345.00000000,103297.99000000,16419.06283000
1750464000,103297.98000000,103982.64000000,100837.90000000,102120.01000000,11154.21332000
1750550400,102120.02000000,103399.62000000,98200.00000000,100963.87000000,28746.41072000
1750636800,100963.87000000,106074.20000000,99613.33000000,105333.93000000,27666.50609000
1750723200,105333.94000000,106290.00000000,104622.02000000,106083.00000000,14651.69335000
1750809600,106083.00000000,108135.30000000,105808.03000000,107340.58000000,16701.15551000
1750896000,107340.59000000,108272.45000000,106562.50000000,106947.06000000,10573.27279000
1750982400,106947.06000000,107735.34000000,106356.76000000,107047.59000000,12232.44042000
1751068800,107047.58000000,107577.75000000,106811.51000000,107296.79000000,3282.17352000
1751155200,107296.79000000,108528.50000000,107172.52000000,108356.93000000,6831.73640000
1751241600,108356.93000000,108789.99000000,106733.33000000,107146.50000000,9754.12491000
1751328000,107146.51000000,107540.00000000,105250.85000000,105681.14000000,10505.62437000
1751414400,105681.13000000,109730.00000000,105100.19000000,108849.60000000,17691.89592000
1751500800,108849.59000000,110529.18000000,108530.40000000,109584.78000000,13047.08225000
1751587200,109584.77000000,109767.59000000,107245.00000000,107984.24000000,11793.86615000
1751673600,107984.25000000,108420.56000000,107756.31000000,108198.12000000,3736.97570000
1751760000,108198.12000000,109700.00000000,107800.01000000,109203.84000000,6447.60700000
1751846400,109203.85000000,109700.00000000,107513.20000000,108262.94000000,9405.37601000
1751932800,108262.94000000,109216.56000000,107429.57000000,108922.98000000,9216.02080000
1752019200,108922.99000000,111999.79000000,108324.53000000,111233.99000000,17282.28650000
1752105600,111234.00000000,116868.00000000,110500.00000000,116010.00000000,24883.45066500
1752192000,116010.01000000,118869.98000000,115222.22000000,117527.66000000,25873.52114800
1752278400,117527.66000000,118200.00000000,116900.05000000,117420.00000000,8446.60437000
1752364800,117420.00000000,119488.00000000,117224.79000000,119086.64000000,9550.79294700
1752451200,119086.65000000,123218.00000000,118905.18000000,119841.18000000,27269.34887700
1752537600,119841.17000000,119940.83000000,115736.92000000,117758.09000000,32018.46083000
1752624000,117758.08000000,120063.84000000,117017.29000000,118630.43000000,17039.90851000
1752710400,118630.44000000,120998.71000000,117453.57000000,119177.56000000,15728.57651000
